date,premise_code,item_code,price
4-Jun-23,20825,1111,12.3
4-Jun-23,20825,1558,8
4-Jun-23,20826,1111,12.3
4-Jun-23,20826,1558,7
4-Jun-23,20827,1,9.4
4-Jun-23,20827,1558,5
4-Jun-23,20857,1,9.4
4-Jun-23,20857,1111,12.3
4-Jun-23,20857,1558,2.9
4-Jun-23,20870,1,9.29
4-Jun-23,20870,1111,12.3
4-Jun-23,20870,1556,4.99
4-Jun-23,20870,1558,4.99
6-Jun-23,351,1,8.99
6-Jun-23,351,160,8.39
6-Jun-23,351,1111,12.3
6-Jun-23,351,1558,7.99
6-Jun-23,368,1,9.4
6-Jun-23,368,1111,12.3
6-Jun-23,382,1,9.2
6-Jun-23,382,1556,5.5
6-Jun-23,382,1558,5.5
6-Jun-23,394,2,9.8
6-Jun-23,394,1556,5.99
6-Jun-23,394,1558,3.99
6-Jun-23,398,1558,3.99
6-Jun-23,438,1,9.4
6-Jun-23,438,1111,12.3
6-Jun-23,438,1556,4.9
6-Jun-23,439,1,9.4
6-Jun-23,439,1111,12.3
6-Jun-23,439,1558,6.5
6-Jun-23,480,1,9.4
6-Jun-23,480,1558,6.9
6-Jun-23,524,1,9.4
6-Jun-23,524,1111,12.3
6-Jun-23,524,1558,8
6-Jun-23,527,1,9.3
6-Jun-23,527,69,10
6-Jun-23,527,1558,7
6-Jun-23,529,1,9.4
6-Jun-23,529,1558,7
6-Jun-23,569,1,8.99
6-Jun-23,569,1558,4.99
6-Jun-23,600,1,9.4
6-Jun-23,600,1558,7
6-Jun-23,660,1,9.4
